ID Ciudad Latitud Longitud Demanda_Mensual
98 Quito -0.304695 -78.432089 94.57
99 Quito -0.322389 -78.44386 78.74
100 Quito -0.196781 -78.614642 114.06
101 Quito -0.263562 -78.598338 392.83
102 Quito -0.229799 -78.621276 134.78
103 Quito -0.250312 -78.540376 150.62
104 Quito -0.265009 -78.399929 53.06
105 Quito -0.11535 -78.522943 207.49
106 Quito -0.142995 -78.579388 174.12
107 Quito -0.261975 -78.481811 326.22
108 Quito -0.139071 -78.609801 126.66
109 Quito -0.18268 -78.618301 166.52
110 Quito -0.179394 -78.535592 77.88
111 Quito -0.318981 -78.531907 157.84
112 Quito -0.333977 -78.469381 221.3
113 Quito -0.14516 -78.562033 111.7
114 Quito -0.331294 -78.476273 154.81
115 Quito -0.203935 -78.604714 97.36
116 Quito -0.23498 -78.575874 184.96
117 Quito -0.174397 -78.48695 76.34
118 Quito -0.200674 -78.427753 119.37
119 Quito -0.106482 -78.465435 184.92
120 Quito -0.202403 -78.518588 278.14
121 Quito -0.34963 -78.49347 102.4
122 Quito -0.124445 -78.589864 227.93
123 Quito -0.180811 -78.633788 109.96
124 Quito -0.303848 -78.504757 290.24
125 Quito -0.240116 -78.63424 455.82
126 Quito -0.345549 -78.53963 226.59
127 Quito -0.143937 -78.467925 120.89
128 Quito -0.22508 -78.435389 119.06
129 Quito -0.16846 -78.561101 230.45
130 Quito -0.173169 -78.591893 67.56
131 Quito -0.159248 -78.531311 79.56
132 Quito -0.197183 -78.506387 143.39
133 Quito -0.267759 -78.55778 74.38
134 Quito -0.133182 -78.541951 92.54
135 Quito -0.32423 -78.593988 301.43
136 Quito -0.18141 -78.447942 291.89
137 Quito -0.334277 -78.571192 209.0
138 Quito -0.187091 -78.414059 140.77
139 Quito -0.244268 -78.58229 298.04
140 Quito -0.191134 -78.609449 59.85
141 Quito -0.238837 -78.542383 53.69
142 Quito -0.302853 -78.466908 120.66
143 Quito -0.149194 -78.569865 62.13
144 Quito -0.327826 -78.52713 304.88
145 Quito -0.205997 -78.603101 270.15
146 Quito -0.249462 -78.452336 167.31
147 Quito -0.331362 -78.476815 221.35
148 Quito -0.269102 -78.43121 121.31
149 Quito -0.262082 -78.458164 125.02
150 Quito -0.146889 -78.581045 94.42
151 Quito -0.215501 -78.426551 110.04
152 Quito -0.332571 -78.495314 53.48
153 Quito -0.243675 -78.429927 122.7
154 Quito -0.288336 -78.43883 204.17
155 Quito -0.296115 -78.53721 112.61
156 Quito -0.206205 -78.398744 155.49
157 Quito -0.113512 -78.546332 113.66
158 Quito -0.237312 -78.410294 254.16
159 Quito -0.098131 -78.527346 98.11
160 Quito -0.256734 -78.405006 52.59
161 Quito -0.151566 -78.487861 320.99
162 Quito -0.219407 -78.555479 51.57
163 Quito -0.298113 -78.50184 159.7
164 Quito -0.190775 -78.54708 64.46
165 Quito -0.318985 -78.56427 105.38
166 Quito -0.182829 -78.524685 112.33
167 Quito -0.310101 -78.46003 265.87
168 Quito -0.313997 -78.424631 128.75
169 Quito -0.311782 -78.46839 76.02
170 Quito -0.124626 -78.443616 124.49
171 Quito -0.162572 -78.480104 88.88
172 Quito -0.314063 -78.451503 56.9
173 Quito -0.237154 -78.442725 77.53
174 Quito -0.212959 -78.443396 260.0
175 Quito -0.200251 -78.568854 61.61
176 Quito -0.178988 -78.456403 53.82
177 Quito -0.192656 -78.612564 391.68
178 Quito -0.305754 -78.477912 105.08
179 Quito -0.233959 -78.414277 167.81
180 Quito -0.131449 -78.586262 57.03
181 Quito -0.205555 -78.402648 277.35
182 Quito -0.103327 -78.497011 263.0
183 Quito -0.215524 -78.568535 153.28
184 Quito -0.243842 -78.379887 209.71
185 Quito -0.129526 -78.530176 109.0
186 Quito -0.177383 -78.479315 141.78
187 Quito -0.264679 -78.585055 62.56
188 Quito -0.162569 -78.476754 90.3
189 Quito -0.139281 -78.604175 50.45
190 Quito -0.250644 -78.504904 195.26
191 Quito -0.309748 -78.511479 56.2
192 Quito -0.170997 -78.459297 242.13
193 Quito -0.114965 -78.493033 305.3
194 Quito -0.226034 -78.497704 91.25
195 Quito -0.195506 -78.550434 326.04
196 Quito -0.146326 -78.405174 142.65
197 Quito -0.300874 -78.464931 147.07
198 Quito -0.184003 -78.465925 251.29
199 Quito -0.196874 -78.4854 347.08
200 Quito -0.284166 -78.411302 50.31
201 Quito -0.23865 -78.634246 222.22
202 Quito -0.160507 -78.579772 122.46
203 Quito -0.213478 -78.594815 415.04
204 Quito -0.154796 -78.520262 197.52
205 Quito -0.284536 -78.471914 244.41
206 Quito -0.318526 -78.421381 282.5
207 Quito -0.143791 -78.40423 104.84
208 Quito -0.241197 -78.47518 87.92
209 Quito -0.206045 -78.521233 106.5
210 Quito -0.183959 -78.519244 143.2
211 Quito -0.280888 -78.571738 61.87
212 Quito -0.265205 -78.59985 319.12
213 Quito -0.148615 -78.573484 200.32
214 Quito -0.209513 -78.401364 79.42
215 Quito -0.107803 -78.440645 290.85
216 Quito -0.175804 -78.479881 53.9
217 Quito -0.234544 -78.483829 119.47
218 Quito -0.217011 -78.425889 105.24
219 Quito -0.172447 -78.418576 167.6
220 Quito -0.323052 -78.510819 116.65
221 Quito -0.326667 -78.484675 238.2
222 Quito -0.2435 -78.415478 81.42
223 Quito -0.146686 -78.51804 348.85
224 Quito -0.291521 -78.492486 433.76
225 Quito -0.154947 -78.460646 97.79
226 Quito -0.226418 -78.531281 197.84
227 Quito -0.095 -78.505953 390.99
228 Quito -0.121713 -78.574272 388.4
229 Quito -0.209755 -78.576123 129.03
230 Quito -0.195383 -78.449586 310.95
231 Quito -0.24114 -78.557532 77.43
232 Quito -0.104156 -78.48299 55.48
233 Quito -0.133025 -78.417868 111.09
234 Quito -0.183804 -78.398492 194.3
235 Quito -0.290503 -78.513121 117.68
236 Quito -0.095699 -78.557856 165.6
237 Quito -0.189347 -78.599239 75.55
238 Quito -0.203252 -78.402811 170.61
239 Quito -0.163234 -78.59526 66.03
240 Quito -0.224462 -78.465152 174.23
241 Quito -0.226514 -78.429395 156.74
242 Quito -0.262253 -78.594723 312.95
243 Quito -0.269708 -78.41947 235.18
244 Quito -0.330156 -78.487209 84.09
245 Quito -0.195219 -78.505021 102.04
246 Quito -0.210743 -78.413985 114.89
247 Quito -0.11335 -78.547493 192.77
248 Quito -0.238739 -78.637751 295.7
249 Quito -0.317756 -78.599079 136.89
250 Quito -0.201815 -78.424364 88.54
251 Quito -0.139082 -78.522091 311.65
252 Quito -0.15445 -78.486046 463.48
253 Quito -0.201827 -78.548772 111.04
254 Quito -0.190358 -78.517801 198.4
255 Quito -0.206109 -78.571727 256.95
256 Quito -0.324203 -78.575083 131.19
257 Quito -0.195154 -78.6133 172.78
258 Quito -0.12143 -78.520081 89.5
259 Quito -0.187481 -78.548727 177.1
260 Quito -0.234521 -78.521294 65.14
261 Quito -0.260102 -78.490684 62.82
262 Quito -0.287362 -78.433186 95.06
263 Quito -0.306308 -78.588377 319.45
264 Quito -0.254613 -78.409886 64.0
265 Quito -0.169669 -78.584369 84.61
266 Quito -0.339994 -78.467959 71.5
267 Quito -0.145445 -78.436481 237.59
268 Quito -0.296488 -78.441466 117.09
269 Quito -0.328807 -78.46137 83.71
270 Quito -0.148224 -78.581862 217.5
271 Quito -0.154043 -78.568377 198.46
272 Quito -0.229788 -78.587042 85.85
273 Quito -0.113207 -78.54443 69.47
274 Quito -0.144047 -78.467076 174.86
275 Quito -0.197591 -78.488254 291.79
276 Quito -0.261764 -78.588013 419.98
277 Quito -0.334293 -78.4523 56.66
278 Quito -0.236749 -78.472253 85.33
279 Quito -0.343419 -78.498476 137.64
280 Quito -0.166783 -78.465334 93.67
281 Quito -0.329651 -78.556447 238.84
282 Quito -0.318706 -78.549026 255.28
283 Quito -0.150887 -78.499584 366.17
284 Quito -0.254196 -78.466115 92.37
285 Quito -0.115086 -78.463215 90.13
286 Quito -0.301299 -78.52806 82.13
287 Quito -0.249148 -78.441267 302.58
288 Quito -0.180665 -78.547889 66.89
289 Quito -0.141996 -78.468337 165.83
290 Quito -0.27385 -78.480205 129.58
291 Quito -0.135058 -78.441116 190.64
292 Quito -0.242872 -78.453266 74.27
293 Quito -0.183157 -78.386651 313.87
294 Quito -0.231614 -78.467079 146.39
295 Quito -0.152483 -78.440989 107.86
296 Quito -0.259655 -78.58212 182.59
297 Quito -0.304291 -78.476685 60.97
298 Quito -0.297535 -78.475494 133.4
299 Quito -0.329726 -78.437902 123.29
300 Quito -0.328563 -78.484566 121.11
301 Quito -0.150184 -78.457435 64.17
302 Quito -0.140226 -78.596893 127.68
303 Quito -0.125051 -78.462822 96.3
304 Quito -0.207066 -78.591088 328.32
305 Quito -0.194265 -78.477747 69.98
306 Quito -0.15288 -78.416117 82.26
307 Quito -0.28385 -78.578418 197.0
308 Quito -0.27323 -78.627215 335.45
309 Quito -0.279108 -78.393351 112.56
310 Quito -0.325199 -78.491552 261.93
311 Quito -0.242098 -78.4829 57.81
312 Quito -0.269167 -78.459308 333.53
313 Quito -0.132578 -78.456514 150.41
314 Guayaquil -2.07539 -79.995722 287.54
315 Guayaquil -2.224827 -79.810799 54.2
316 Guayaquil -2.03541 -79.819258 160.4
317 Guayaquil -2.245599 -79.924534 98.8
318 Guayaquil -2.2916 -79.874144 76.63
319 Guayaquil -2.19457 -79.809979 141.04
320 Guayaquil -2.135731 -80.062581 52.8
321 Guayaquil -2.212655 -80.008637 263.83
322 Guayaquil -2.031345 -80.015597 137.42
323 Guayaquil -2.104001 -79.83992 354.16
324 Guayaquil -2.278862 -79.835381 180.67
325 Guayaquil -2.285219 -79.810566 295.22
326 Guayaquil -2.097491 -80.058207 212.36
327 Guayaquil -2.242054 -80.015234 109.04
328 Guayaquil -2.135719 -79.847107 257.37
329 Guayaquil -2.161212 -79.856487 79.32
330 Guayaquil -2.044049 -79.82877 382.09
331 Guayaquil -2.069656 -79.897905 95.19
332 Guayaquil -2.22272 -79.871786 338.47
333 Guayaquil -2.144497 -79.990527 130.92
334 Guayaquil -2.210081 -80.000757 106.95
335 Guayaquil -2.172105 -80.042774 124.37
336 Guayaquil -2.126694 -80.03719 188.24
337 Guayaquil -2.002484 -79.980534 108.54
338 Guayaquil -2.26716 -79.834205 405.2
339 Guayaquil -2.149842 -79.985803 122.13
340 Guayaquil -2.07692 -80.017529 89.05
341 Guayaquil -2.114048 -79.99959 143.68
342 Guayaquil -2.113884 -79.961056 236.31
343 Guayaquil -2.149906 -79.803587 54.2
344 Guayaquil -2.050763 -79.880596 155.52
345 Guayaquil -2.192315 -79.901061 401.51
346 Guayaquil -2.264974 -80.051681 67.76
347 Guayaquil -2.098983 -80.053862 94.07
348 Guayaquil -2.183344 -79.91827 59.12
349 Guayaquil -2.103273 -80.036979 222.72
350 Guayaquil -2.097155 -79.86038 56.47
351 Guayaquil -2.311193 -79.845128 72.8
352 Guayaquil -2.056138 -80.000305 53.81
353 Guayaquil -2.167551 -79.854412 168.76
354 Guayaquil -2.164127 -79.806647 75.6
355 Guayaquil -2.12485 -79.929813 170.1
356 Guayaquil -2.037614 -79.932198 132.6
357 Guayaquil -2.288115 -80.056379 51.85
358 Guayaquil -2.145713 -80.024824 257.21
359 Guayaquil -2.15025 -80.075046 56.63
360 Guayaquil -2.326318 -79.968601 111.39
361 Guayaquil -2.317132 -79.889373 280.69
362 Guayaquil -2.024991 -79.861277 110.44
363 Guayaquil -2.093777 -79.900593 67.6
364 Guayaquil -2.348846 -79.939646 111.9
365 Guayaquil -2.169374 -80.000925 175.43
366 Guayaquil -2.102158 -79.9997 70.61
367 Guayaquil -2.051967 -80.021521 205.66
368 Guayaquil -2.046162 -79.943201 256.94
369 Guayaquil -2.33063 -79.94183 75.82
370 Guayaquil -2.301314 -80.020186 128.85
371 Guayaquil -2.043035 -79.851981 133.12
372 Guayaquil -2.30442 -79.855594 56.7
373 Guayaquil -2.097954 -80.000149 173.32
374 Guayaquil -1.997454 -79.944295 71.53
375 Guayaquil -2.276054 -79.800658 341.3
376 Guayaquil -2.08363 -79.812955 62.23
377 Guayaquil -2.026411 -79.857409 113.11
378 Guayaquil -2.298464 -79.979708 339.94
379 Guayaquil -2.279872 -79.809363 186.74
380 Guayaquil -2.287083 -79.83585 62.74
381 Guayaquil -2.182406 -80.048807 147.81
382 Guayaquil -2.177774 -79.830991 250.09
383 Guayaquil -2.209126 -79.754685 77.11
384 Guayaquil -2.098273 -80.01885 230.01
385 Guayaquil -2.044639 -79.844651 171.6
386 Guayaquil -2.197306 -79.884931 267.46
387 Guayaquil -2.080856 -80.044264 316.11
388 Guayaquil -2.136255 -80.04575 60.98
389 Guayaquil -2.068319 -79.800053 56.55
390 Guayaquil -2.280447 -79.804241 201.91
391 Guayaquil -2.085386 -79.870884 373.36
392 Guayaquil -2.326516 -79.94773 77.32
393 Guayaquil -2.029169 -79.947265 187.71
394 Guayaquil -2.265196 -79.782881 274.64
395 Guayaquil -2.09778 -79.761688 227.3
396 Guayaquil -2.11149 -79.900803 61.34
397 Guayaquil -2.237704 -79.786584 196.51
398 Guayaquil -2.040477 -80.023741 121.62
399 Guayaquil -2.231346 -79.942363 122.7
400 Guayaquil -2.244767 -79.923594 115.34
401 Guayaquil -2.253742 -80.05052 279.43
402 Guayaquil -2.321342 -79.985917 50.58
403 Guayaquil -2.257008 -80.028324 274.73
404 Guayaquil -2.295337 -79.850531 190.56
405 Guayaquil -2.214348 -79.752107 224.88
406 Guayaquil -2.209917 -80.012324 51.97
407 Guayaquil -2.287127 -79.876089 105.7
408 Guayaquil -2.229344 -79.781748 334.39
409 Guayaquil -2.106805 -79.932414 143.65
410 Guayaquil -2.222626 -79.811084 79.84
411 Guayaquil -2.091572 -79.867092 156.38
412 Guayaquil -2.169182 -79.755286 73.53
413 Guayaquil -2.259733 -79.969518 221.11
414 Guayaquil -2.297338 -79.934124 53.22
415 Guayaquil -2.050756 -79.965493 143.59
416 Guayaquil -2.195329 -79.890162 246.5
417 Guayaquil -2.240746 -80.024013 254.6
418 Guayaquil -2.324125 -79.851433 300.07
419 Guayaquil -2.246697 -79.83755 99.95
420 Guayaquil -2.217018 -79.938391 223.45
421 Guayaquil -2.204171 -79.746828 86.38
422 Guayaquil -2.059618 -79.939983 171.29
423 Guayaquil -2.026237 -79.980826 95.61
424 Guayaquil -2.209238 -79.92242 70.54
425 Guayaquil -2.290802 -79.902456 190.64
426 Guayaquil -2.237187 -79.798273 122.44
427 Guayaquil -2.177588 -80.02046 175.38
428 Guayaquil -2.319138 -79.952924 160.05
429 Guayaquil -2.270838 -79.813859 307.39
430 Guayaquil -2.126692 -80.068857 58.25
431 Guayaquil -2.34543 -79.894313 323.45
432 Guayaquil -2.305797 -79.99392 94.77
433 Guayaquil -2.268447 -80.024909 105.94
434 Guayaquil -2.184458 -79.951348 96.89
435 Guayaquil -2.071084 -79.910456 97.05
436 Guayaquil -2.304738 -79.837971 411.55
437 Guayaquil -2.174983 -79.967061 62.88
438 Guayaquil -2.237414 -79.792153 124.19
439 Guayaquil -2.091358 -79.770416 104.58
440 Guayaquil -2.149988 -80.073494 250.71
441 Guayaquil -2.231673 -79.972646 111.91
442 Guayaquil -2.14313 -79.747394 88.71
443 Guayaquil -2.130989 -79.776953 99.76
444 Guayaquil -2.024468 -79.987236 65.0
445 Guayaquil -2.22025 -80.021549 410.96
446 Guayaquil -2.01635 -79.967743 87.59
447 Guayaquil -2.19462 -80.025465 101.05
448 Guayaquil -2.251063 -79.911816 276.13
449 Guayaquil -2.193085 -79.985196 212.58
450 Guayaquil -2.164033 -79.775525 202.45
451 Guayaquil -2.061721 -79.884994 82.46
452 Guayaquil -2.169315 -79.935224 280.1
453 Guayaquil -2.315845 -79.826481 238.73
454 Guayaquil -2.115917 -79.754831 143.35
455 Guayaquil -2.126003 -79.951781 188.26
456 Guayaquil -2.200228 -80.093807 121.94
457 Guayaquil -2.115365 -79.973187 462.67
458 Guayaquil -2.271878 -79.846156 455.51
459 Guayaquil -2.020612 -79.997794 52.37
460 Guayaquil -2.031842 -79.811202 176.66
461 Guayaquil -2.292618 -79.956331 409.45
462 Guayaquil -2.248301 -79.906656 58.24
463 Guayaquil -2.259105 -79.899138 111.72
464 Guayaquil -2.136699 -80.053362 109.8
465 Guayaquil -2.065738 -80.056101 241.76
466 Guayaquil -2.045312 -79.846207 61.69
467 Guayaquil -2.210919 -79.842321 77.64
468 Guayaquil -2.166856 -80.097837 148.22
469 Guayaquil -2.026115 -79.911973 69.37
470 Guayaquil -2.097699 -79.855092 141.68
471 Guayaquil -2.051855 -80.014676 66.43
472 Guayaquil -2.086649 -79.97148 110.61
473 Guayaquil -2.124023 -79.870075 253.82
474 Guayaquil -2.285963 -79.855233 163.89
475 Guayaquil -2.21415 -79.994429 134.05
476 Guayaquil -2.135076 -79.959175 191.48
477 Guayaquil -2.051977 -79.858805 65.22
478 Guayaquil -2.30688 -79.927088 72.13
479 Guayaquil -2.231752 -79.930209 103.9
480 Guayaquil -2.063036 -79.852987 215.01
481 Guayaquil -2.292006 -79.932497 62.01
482 Guayaquil -2.117514 -80.06553 195.47
483 Guayaquil -2.174599 -80.058981 57.02
484 Guayaquil -2.006048 -79.852542 79.03
485 Guayaquil -2.141723 -79.935338 191.48
486 Guayaquil -2.153355 -80.099229 172.18
487 Guayaquil -2.059998 -79.927387 404.84
488 Guayaquil -2.276393 -79.817858 210.61
489 Guayaquil -2.231355 -80.009479 93.15
490 Guayaquil -2.321766 -79.950027 50.35
491 Guayaquil -2.073861 -79.90843 215.01
492 Guayaquil -2.330751 -79.954892 88.56
493 Guayaquil -2.198911 -79.750707 86.82
494 Guayaquil -2.128529 -80.030701 354.65
495 Guayaquil -2.089832 -79.914397 51.52
496 Guayaquil -2.294112 -80.009257 66.22
497 Guayaquil -2.24208 -79.872287 134.45
498 Guayaquil -2.0514 -79.878114 156.19
499 Guayaquil -2.182754 -80.023176 230.95
500 Guayaquil -2.213393 -79.833277 92.56
501 Guayaquil -2.153177 -79.82554 76.02
502 Guayaquil -2.046165 -80.04005 170.34
503 Guayaquil -2.348086 -79.917528 334.46
504 Guayaquil -2.148371 -80.021277 77.96
505 Guayaquil -2.282349 -79.813075 230.98
506 Guayaquil -2.218363 -79.778888 381.68
507 Guayaquil -2.334337 -79.989922 83.63
508 Guayaquil -2.167364 -79.841468 318.38
509 Guayaquil -2.139688 -79.96717 112.11
510 Guayaquil -2.188065 -79.77593 287.03
511 Guayaquil -2.111597 -79.777288 232.15
512 Guayaquil -2.337123 -79.900772 193.39
513 Guayaquil -1.997879 -79.905671 100.79
514 Guayaquil -2.046665 -79.922736 115.98
515 Guayaquil -2.122543 -79.757504 242.67
516 Guayaquil -2.267045 -79.832956 92.29
517 Guayaquil -2.297281 -79.932593 93.54
518 Guayaquil -2.332619 -79.891034 202.53
519 Guayaquil -2.286519 -79.85303 64.53
520 Guayaquil -2.182748 -79.749097 158.83
521 Guayaquil -2.111618 -79.838012 192.44
522 Guayaquil -2.316357 -79.921763 129.3
523 Guayaquil -2.094199 -80.081459 191.67
524 Guayaquil -2.092273 -79.782891 104.87
525 Guayaquil -2.34257 -79.909784 206.58
526 Guayaquil -2.14018 -79.910483 410.13
527 Guayaquil -2.248207 -80.059188 206.36
528 Guayaquil -2.153413 -79.772344 52.08
529 Guayaquil -2.26972 -79.821422 234.98
530 Guayaquil -2.295788 -79.909183 51.64
531 Guayaquil -2.040636 -79.912676 170.85
532 Guayaquil -2.009926 -79.904985 294.52
533 Guayaquil -2.121419 -79.953964 56.45
534 Guayaquil -2.124485 -79.800624 148.07
535 Guayaquil -2.2585 -79.856183 153.23
536 Guayaquil -2.085775 -79.927638 310.99
537 Guayaquil -2.265641 -80.059313 81.96
538 Guayaquil -2.267941 -79.830519 50.24
539 Guayaquil -2.110774 -79.810563 203.16
540 Guayaquil -2.323367 -79.989314 72.66
541 Guayaquil -2.091324 -79.900577 396.73
542 Guayaquil -2.209307 -79.916457 80.97
543 Guayaquil -2.062232 -80.002146 63.75
544 Guayaquil -2.240438 -79.760498 248.72
545 Guayaquil -2.197321 -80.03269 55.62
546 Guayaquil -2.161178 -79.758557 207.0
547 Guayaquil -2.247718 -79.786372 112.25
548 Guayaquil -2.191547 -80.047871 73.54
549 Guayaquil -2.322843 -79.859044 167.86
550 Guayaquil -2.06236 -79.954068 60.31
551 Guayaquil -2.197139 -79.745326 128.55
552 Guayaquil -2.060914 -79.965075 252.07
553 Guayaquil -2.049683 -79.84994 306.09
554 Guayaquil -2.10961 -79.887622 253.01
555 Guayaquil -2.177565 -80.023291 50.25
556 Guayaquil -2.209583 -79.821759 66.09
557 Guayaquil -2.12486 -79.811229 151.86
558 Guayaquil -2.065567 -79.904845 75.05
559 Guayaquil -2.221267 -79.822863 100.93
560 Guayaquil -2.024035 -79.835862 448.45
561 Guayaquil -2.237549 -79.954725 73.79
562 Guayaquil -2.210837 -79.802693 62.38
563 Guayaquil -2.280969 -79.862932 58.71
564 Guayaquil -2.167955 -79.780395 102.25
565 Guayaquil -2.093401 -79.860655 191.85
566 Guayaquil -2.288304 -80.032826 99.64
567 Guayaquil -2.104391 -80.075068 109.68
568 Guayaquil -2.246111 -79.764494 78.4
569 Guayaquil -1.99853 -79.961437 141.14
570 Guayaquil -2.30712 -79.914702 91.02
571 Guayaquil -2.125302 -80.025335 78.9
572 Guayaquil -2.282043 -79.995072 218.75
573 Guayaquil -2.054213 -79.957924 189.76
574 Guayaquil -2.209398 -79.777871 343.23
575 Guayaquil -2.277818 -79.8538 118.98
576 Guayaquil -2.253488 -80.050003 76.26
577 Guayaquil -2.046836 -79.929664 141.37
578 Guayaquil -2.03988 -79.994064 243.44
579 Guayaquil -2.278982 -79.791082 204.19
580 Guayaquil -2.035382 -79.842219 155.05
581 Guayaquil -2.193797 -79.952568 349.87
582 Guayaquil -2.296879 -79.830481 237.06
583 Guayaquil -2.079811 -79.916349 169.22
584 Guayaquil -2.290192 -79.988435 128.46
585 Guayaquil -2.151712 -80.058882 127.69
586 Guayaquil -2.113596 -79.913471 230.02
587 Guayaquil -2.041067 -79.806291 69.88
588 Guayaquil -2.249516 -79.899768 153.48
589 Guayaquil -2.309789 -79.865591 93.09
590 Guayaquil -2.148495 -79.979044 297.61
591 Guayaquil -2.20319 -79.987738 157.99
592 Guayaquil -2.138138 -79.858455 291.47
593 Guayaquil -2.15799 -79.808801 103.16
594 Guayaquil -2.198946 -79.909705 104.53
595 Guayaquil -2.264749 -79.983734 115.26
596 Guayaquil -2.168637 -80.083953 52.86
597 Guayaquil -2.117119 -79.978365 117.12
598 Guayaquil -2.183937 -79.756037 201.77
599 Guayaquil -2.286192 -80.00279 141.91
600 Guayaquil -2.091272 -80.038897 308.52
601 Guayaquil -2.212363 -79.787777 55.11
602 Guayaquil -2.097717 -79.855416 107.12
603 Guayaquil -2.286919 -79.930298 73.81
604 Guayaquil -2.11474 -79.790689 251.35
605 Guayaquil -2.037163 -79.922486 80.91
606 Guayaquil -2.218623 -79.811544 58.66
607 Guayaquil -2.104732 -79.918406 403.58
608 Guayaquil -2.297324 -79.926719 178.06
609 Guayaquil -2.103772 -80.028492 51.15
610 Guayaquil -2.164258 -80.019266 116.49
611 Guayaquil -2.111272 -79.816598 305.92
612 Guayaquil -2.228522 -79.940983 89.84
613 Guayaquil -2.122644 -80.019888 65.4
614 Guayaquil -2.196717 -80.052686 95.62
615 Guayaquil -2.095913 -80.058837 183.88
616 Guayaquil -2.271824 -79.889453 211.37
617 Guayaquil -2.012883 -79.928407 136.44
618 Guayaquil -2.261558 -79.978229 252.38
619 Guayaquil -2.137229 -79.864488 69.24
620 Guayaquil -2.0719 -79.883628 118.15
